Ulasan;produk;;;;;;;;;;;
Dicas bukan makin nambah malah makin berkurang harus bagaimana ya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X15;;;;;;;;;;;
Kalau ga niat jualan gausah jualan barang rusak dijual di ces bluetooth kaga ngisi apaan pantes harga murah barang murahan ini sudah ada buktinya pertama buka;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X16;;;;;;;;;;;
Ga bisa nyala dan ga bisa di cas sudah percaya beli malah mengecewakan datangnya juga lama pengemasan lama 2 hari baru di kasih ke ekpedisi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X17;;;;;;;;;;;
Maaf kak ini maksudnya gimana ya?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X18;;;;;;;;;;;
Barang sudah sampai; kotak aman packingan rapih sampai susah buka. Barangnya pun keliatan bagus; tapi waktu di charge daya gak masuk.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X19;;;;;;;;;
Kejernihan lensa: Tidak berpungsi sama sekali; tolong yg amanah klo jualan;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;
Yg bagian kanannya kok gak bisa bunyi sama skali yaa padahal batrenya udah penuh. Dan kalo ngecasnya juga agak susah gitu dibagian kanannya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;;;
paket sudah sampai tetapi batrai sudah lobet ;;;;;;;;;;;;
Produk rusak kak tidak berfungsi sebelah;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (Khaki);;;;;;;;;;;
barang sudah sampai; tapi parah kaya ada yg lepas di dalam dan suara ga jernih trus bass ga ada. tidak bisa di carger juga apa aku dapat yang rusak ya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;
Jelek skli gak bisa dipake krna suara x hilang² beli 2 pula🤦‍♀️;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Maaf ko headphone kabel data nya engga nge cas sangat kecewa mesti nya d cek dulu;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Barang yah gak bagus..baru berapa menit aja di pake langsung lobet..padahal cas yah full..👎..nyesel cod..;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Menurut ku kurang bagus si produk nya yg satu nya ngga fungsi; inti nya saya kecewa sama produk ino;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (pink);;;;;;;;;;
produk sangat buruk sekali yang kanan tidak bisa dipakai dan susah sambung ke BT hp;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Ya nyesal produk ini.rusak sebelah datang dua;tapi yg satu rusak.. ;;;;;;;;;;;
Henset nya emang murahan; saking murahan nya. Henset sebelah kanan TDK bisa hidup dan di cas juga gk ngecas..;;;;;;;;;;;
Ta kira in besar...rupanya kecil n susah masuk di telinga..n mati mati lampu kecilnya TDK stabil sepertinya ini barang bekass;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (white);;;;;;;;;;;
tampilan sudah dirusak/ hanya bagian kanan yang berfungsi;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
hallo; sebelumnya saya terima kasih barangnya sudah sampai; tapi barangnya banyak minesnya;;;;;;;;;;
headset baru dateng tapi malah bocor aneh;ini baru apa second sih🙃;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;
Kecewa banget yang satunya gk bisa menyala dan gk bisa di gunakan padahal barang baru sampai;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (white);;;;;;;;;;;
paket sudah saya terima; sayangnya gak sesuai expetasi; karna yang sebelah (L) suaranya gak jernih; kemresek gak enak di dengar;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;
Suara ga nge bas udh di full in suara nya ttep kecil suara nya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Satu nya gak ada suara mungkin rusak kualitas kurang bagus tdk puas aku;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
baru Dateng udah lecet+suara kurang jernih; NGEREBEK;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (white);;;;;;;;;;
TWSnya rusak; dia mau ke connect di bluetooth tapi tidak bisa menghasilkan suara; jujur saya kecewa.;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;
Gak bisa nyala dan gak sesuai perkiraan ;;;;;;;;;;;;
Kok yg sebelah kiri gak ada suara;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Kecewa barangnya ga bangus krna pas saya cek headset dn tmpat cas headset blututnya ga normal Apakah bisa dikembalikan uang saya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (Purple);;;;;;;;;;;
apaan coba; baru dipake sekali pas lowbat di cas langsung hangus; udah ga nyala 😠😠;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;
Baru juga sekali pakai; 1 Minggu udah rusak sebelah; saya kira untuk produknya bagus; eh ternyata tidak ; emang barang murah ; harga murah; tidak menjamin produk wort it....;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;
Lampu nya tidak nyala jdi tidak tau pas di cas nya dia masuk apa ngk nya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Nyesel banget beli di sini masa iyah tws baru mati sebelah padahal udah di ces dan batrenya juga penuh;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Maaf telat kasih ulasan;dikarenakan beberapa hari pengecasan belum penuh penuh dan hanya sebelah yang berfungsi;untuk sebelahnya lagi error;di pakai buat rebahan malah ma...;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;
Barang sudah sampai tapi rusak; ndk mau terisis; malah berkurang baterainya ketika di cas;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;
Barang rusak 1 produk jelek penjual cuek tidak merespon keluahan pembeli kecewa dah pokonya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;;;
apa apaan ini ko yang nyala cuman satu si udah gitu pas nyoba di pake 10 menit panas di kuping saya kecewa padahal baru Dateng loh barangnya hadeh;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
blutooth tersambung tp suara tetep keluar dr hp;ini rusak apa gimana?;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;
Bintang 1 yg berfungsi cuman 1 sebelah kiri;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Dari awal datang; langsung di cas dan ditunggu beberapa saat tapi lampunya cuman hidup sebelh kirain emang gitu tapi pas dicoba malah yang masuk sebelah nya doang;;dicas...;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;
Barang nya rusak; tokohnya gak amanah; satu berfungsi satu nya ngak; jangan di beli guys; barang rusak dia jual;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;
Tws rusak ko di jual gak amanah lol satu bunyi kaya radio anj;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Jelek sekali suara ga ngebahas nyesal gw beli;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Nyesal bangat bli ini;suaranya Lbh kuat kentut..;udah basnya GK ada ;volume di fulin;ms aj kuatan suara kentut..;nyesal bli brg gni..;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;
rifyu jujur;;;;;;;;;;;;
Gk usah beli produk ini saya nyesal; baterai gk awet ngecas 1 jam di pake cuman semenit aja udh ngedrop; gk guna;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;
YG KANAN NGGA KELUAR SUARANYA PADAHAL BARU DATENG SAYA KIRA KARNA NGGA ADA BATERAI NYA; HABIS SAYA CHARGER TTEP NGGA MAU NYALA; ngga rekomen bgt; yg belum beli mohon lebi...;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (white);;;;;;;;
maaf tak kasih bintang satu karena barang tidak sesuai yg di iklan ; waktu dipakai dua²nya malah mati² dan delay ;dan pas dipakai salah satu malah kadang ga kluar suarany...;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;
lain kali packingnya yang niat kak; mana lagi barangnya g berfungsi; g ada kardusnya kek barang second aja udah lepas segel. mohon maaf cuma mau ngingetin aja di sini sa...;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (Khaki);;;;;;;;;
Tidak sesuai iklan.dipakai dengerin musik batrai full gk ada 1 jam sudah low;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (Purple);;;;;;;;;;;
Barang baru sampai tidak bisa di cas sebelah;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;;;
Paket ny sudah sampai.;;;;;;;;;;;;
baru 1hari saya pakai gak keluar suara sebelah kanan headphone nya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
1 gk berfungsi sma sekali; gk ada suarany. ;;;;;;;;;;;
Sori baru kasih ulasan yg pertama di pake ya sakit di telinga ya sudah lah ga papa yg ke 2 barusan mah di pake irpon ya ga ada suara ya 2 ... 2 ya pedahal batre 100 sanga...;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Bang sebelumnya maaf ya bukannya mau bohong tapi ini tws nya nggak mau nyala dan tidak mengisi baterai nya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Tidak sesuai ekpetasi; suaranya kecil sekali; lebih bagus endset yang 25ribuan😞;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;
Barangnya bagus; tapi terpergunakan 1 hari saja; hbis tu tidak mau mengisi atau di charger; ternyata oh ternyata batrenya gembung Oalah;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (pink);;;;;;;;
Tidak rekomendasi tws nya sangat kurang bagus setiap pake sering putus2 dan hilang2an suaranya jadi ga puas pake tws ini;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Sangat kecewa yg hidup hanya satu; yg satu nya mati tidak berfungsi;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;
jaminan barang datang TGL 9 - 12; barang datang TGL 13 udah gitu lampunya gk hidup; yg bisa cuma sebelah kiri yg kanan gk bisa;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;
mending yang lain dah dari pada beli yang ini; kecil banget suaranya udah gitu sambungannya satu tws satu bluetooth; masih mending headset yang 15k pake kabel asli;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (Khaki);;;;;;;;;
suaranya jelek bassnya kurang bagian kanan bunyi suara srek srekk kiri kurang suaranya kurang jelas dominan ke kanan apalah anjirr;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Mati sebelah kanan headsetnya. Gak bisa digunakan yg sebelah kanan nya👎;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Gak jelas suaranya kadang mati sebelah;;;;;;;;;;;;
Sangat kecewa dengan produk ini; sebelah tidak bunyi;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;
Sangat tidak sesuai.... ;;;;;;;;;;;;
Mungkin saya saja yg ngalamin; punya saya tidak bisa di cas; dan saat awal di pakai dari batrai 90% ke 20% nya cepat sekali tidak bisa di pakai seharian.;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (white);;;;;;;;;
Apa seh ini kata nya bagus GK ada suaranya udah di full in tetap aja GK ada suaranya apa lagi buat di jlan GK ada suaranya sama sekali;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
suara; aduhh apa bgtt ada kresek kreseknya; kalo bass nya jelek wajar harga segitu tapi kresek kreseknya itu masa barang rusak di kasih;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;
Saat d cas td g nyala lampunya.. baru 1 menit nyala lama banget... Bagaimana bisa ini;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Barange jelek gak kenah di cas;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Masak belum sehari dipakek yang satu udah gak bisa dipakek atau rusak;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
tidak sesuai; distu diblg kuat suaranya; pas nyampe barangnya suara nya kecil;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;
Ameh bgt barang baru datang tpi yg nyala cuma yg kanan;yg kiri g fungsi;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;
Cok beli mahal samapi rumah GK nyala alias mati co;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Pas datang yg sebelahnya tidak ad suara. Trusss setelah di cobaaa perbaiki jadi tapi tidak bisa ngecasss.. jadi sebelah kanannya sudah off. Krena tdk bis ngecas;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (Khaki);;;;;;;;;;;
yang kanan doang yang berfungsi yang kiri ngga bisa di pakai daya twsnya rendah cepet lowbet!!! tws sampah; ga worth it;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;;
GK bisa konex;lain kali dicek dlu KK;KLO MW kirim brg;lampu koneknya hidup mati;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (Khaki);;;;;;;;
cepat banget lowbetnya ga nyampe 2 lagu udah lowbat lagi padahal casnya 100%;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
"Come on emang murah pengiriman juga cepat tapi bisa"" Nya barang sampai mati sebelah yg satu nyala yg satu mati tolonglah sebelum di kirim di cek lagi barangnya";Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Kenapa kok ga mau nyala si masa rusak bru dateng ih paketan nya😫😫😫;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (pink);;;;;;;;;;;
Barang nya kurang bagus barang baru di beli ga bisa .teruus ga ada tangung jawab nya.jangan beli di toko ini barang kurang bagus.alias jelek banget;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;;;
bos hedset nya bunyi satu;;;;;;;;;;;;
Yg kanan berfungsi yg kiri engga 😂;;;;;;;;;;;;
beli yg murah aja dah atau gak sekalian mahal. ni produk kaya mainan. suranya gak ada bas nya sama sekali. hasil suara yg dikeluarin kaya speaker hp cina murah. ;;;;;;;;;;;;
Mati sebelah;;;;;;;;;;;;
tidak ada suara ya udah di cas segala macem;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;;;
barangnya tdk baik; suara juga gak bagus; sangat tdk memuaskan harga 70 rb tp sangat tdk memuaskan; batre cpt drop; baru d pakai sebentar batre drop;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;
"Kalo beli ini mending pikir"" lagi batre nya boros ";dan cacat ;tidak sesuai iklan;ngisi lama ;"kalo GK sambil dicas batre nya GK Namba""";Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;
Cuman satu yg berfungsi satu lagi ngga 🙏;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Headset nya mati sebelah kak😭sebelah kiri tak berpungsi... kecewa berat aku😭😭😭;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (black);;;;;;;;;;;
Sesuai harga;;;;;;;;;;;;
Masa baru dua hari sudah rusak ;;;;;;;;;;;;
tws kayak anjing masa baru 1xpake udah rusak gabisa dipake lagii dasar kontoll padahal batre udah 100% seller juga low respon najis beli barang disni lagi cukup sekali aj...;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (white);;;;;;;;;;;
Di wdahnya full tp ke hedsetnya kaga ngisi aneh;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;;;
Gimana si . Nyambung ke hp tapi gak ada suara nya .sudah full volumenya Tetp aj gak da suara nya;Review 【COD】WhatPlus x55 Headphone TWS Bluetooth Gaming Nyaman Baterai Awet Tahan Air IPX5 Peredam Kebisingan Aktif Hi-Fi SBC Audio Headset Earphone Wireless Handphone - black (blue);;;;;;;;;;;
Suara henset yang kiri dari hp ;;;;;;;;;;;;
